experiment_name,condition,round,num_seeds,cooperation_rate_mean,cooperation_rate_ci95,defection_rate_mean,defection_rate_ci95,avg_reputation_mean,avg_reputation_ci95,reputation_variance_mean,reputation_variance_ci95,avg_temperature_mean,avg_temperature_ci95,avg_payoff_mean,avg_payoff_ci95,social_welfare_mean,social_welfare_ci95,action_entropy_mean,action_entropy_ci95
test_minimal,reputation_piecewise,275,5,0.84,0.099941,0.16,0.099941,0.619289,0.04871,0.02415,0.007087,0.4142,0.065882,2.84,0.099941,28.4,0.999408,0.38735,0.209929
test_minimal,reputation_piecewise,276,5,0.64,0.132934,0.36,0.132934,0.587025,0.048213,0.028826,0.010981,0.4624,0.028488,2.56,0.201794,25.6,2.017944,0.607453,0.138572
test_minimal,reputation_piecewise,277,5,0.86,0.099941,0.14,0.099941,0.610224,0.038335,0.02305,0.006034,0.4206,0.05491,2.82,0.14403,28.2,1.4403,0.352287,0.202927
test_minimal,reputation_piecewise,278,5,0.78,0.130012,0.22,0.130012,0.610565,0.020041,0.021326,0.005394,0.486,0.067357,2.74,0.170869,27.4,1.708688,0.456936,0.23313
test_minimal,reputation_piecewise,279,5,0.84,0.1176,0.16,0.1176,0.628414,0.036765,0.023883,0.010754,0.4534,0.047469,2.84,0.1176,28.4,1.176,0.374379,0.222125
test_minimal,reputation_piecewise,280,5,0.76,0.0784,0.24,0.0784,0.621024,0.017806,0.024227,0.00541,0.5068,0.063385,2.76,0.0784,27.6,0.784,0.534924,0.067663
test_minimal,reputation_piecewise,281,5,0.82,0.073336,0.18,0.073336,0.630706,0.028032,0.023947,0.00999,0.4894,0.059912,2.78,0.14403,27.8,1.4403,0.452367,0.10925
test_minimal,reputation_piecewise,282,5,0.72,0.114287,0.28,0.114287,0.612314,0.041585,0.020729,0.00752,0.4778,0.051688,2.56,0.236828,25.6,2.368277,0.556475,0.129127
test_minimal,reputation_piecewise,283,5,0.82,0.1568,0.18,0.1568,0.622077,0.028842,0.019285,0.007273,0.445,0.045229,2.78,0.218256,27.8,2.182564,0.356856,0.29064
test_minimal,reputation_piecewise,284,5,0.72,0.114287,0.28,0.114287,0.606861,0.037044,0.021246,0.01155,0.4544,0.042236,2.64,0.201794,26.4,2.017944,0.556475,0.129127
test_minimal,reputation_piecewise,285,5,0.76,0.099941,0.24,0.099941,0.607532,0.047797,0.029038,0.008199,0.4444,0.049327,2.76,0.099941,27.6,0.999408,0.521953,0.116295
test_minimal,reputation_piecewise,286,5,0.9,0.107354,0.1,0.107354,0.638732,0.05631,0.024065,0.007572,0.4862,0.076832,2.9,0.107354,29.0,1.073536,0.252206,0.226239
test_minimal,reputation_piecewise,287,5,0.58,0.130012,0.42,0.130012,0.586316,0.060098,0.025567,0.008041,0.5094,0.061883,2.42,0.251002,24.2,2.510025,0.642517,0.070054
test_minimal,reputation_piecewise,288,5,0.84,0.099941,0.16,0.099941,0.605328,0.042511,0.02275,0.003826,0.4312,0.077714,2.84,0.099941,28.4,0.999408,0.38735,0.209929
test_minimal,reputation_piecewise,289,5,0.82,0.190029,0.18,0.190029,0.618331,0.058404,0.022415,0.008784,0.449,0.055211,2.78,0.258542,27.8,2.585418,0.325819,0.28689
test_minimal,reputation_piecewise,290,5,0.82,0.09602,0.18,0.09602,0.627368,0.063097,0.018751,0.009865,0.4268,0.028182,2.82,0.09602,28.2,0.9602,0.422414,0.211187
test_minimal,reputation_piecewise,291,5,0.84,0.099941,0.16,0.099941,0.63993,0.043277,0.019817,0.006637,0.4828,0.055258,2.8,0.163985,28.0,1.639854,0.38735,0.209929
test_minimal,reputation_piecewise,292,5,0.82,0.114287,0.18,0.114287,0.646337,0.042688,0.020928,0.008936,0.496,0.055124,2.78,0.190029,27.8,1.900291,0.429733,0.136522
test_minimal,reputation_piecewise,293,5,0.8,0.175308,0.2,0.175308,0.646101,0.053382,0.020693,0.0083,0.5054,0.064178,2.8,0.175308,28.0,1.753077,0.390835,0.240531
test_minimal,reputation_piecewise,294,5,0.72,0.09602,0.28,0.09602,0.624902,0.06474,0.017682,0.01201,0.498,0.072321,2.68,0.1568,26.8,1.568,0.566138,0.120449
test_minimal,reputation_piecewise,295,5,0.74,0.04801,0.26,0.04801,0.615992,0.05017,0.026133,0.006366,0.457,0.099922,2.66,0.099941,26.6,0.999408,0.56668,0.053033
test_minimal,reputation_piecewise,296,5,0.78,0.073336,0.22,0.073336,0.616868,0.044235,0.02674,0.010679,0.4444,0.069735,2.7,0.163985,27.0,1.639854,0.509523,0.102526
test_minimal,reputation_piecewise,297,5,0.78,0.1568,0.22,0.1568,0.615559,0.071767,0.018815,0.006313,0.4494,0.063583,2.7,0.247923,27.0,2.479226,0.434302,0.247489
test_minimal,reputation_piecewise,298,5,0.84,0.099941,0.16,0.099941,0.630087,0.054675,0.019227,0.00737,0.455,0.066105,2.8,0.138593,28.0,1.385929,0.38735,0.209929
test_minimal,reputation_piecewise,299,5,0.88,0.114287,0.12,0.114287,0.654926,0.055626,0.023271,0.011207,0.4624,0.066359,2.84,0.181763,28.4,1.817629,0.28727,0.246608
test_minimal,reputation_piecewise,300,5,0.74,0.0784,0.26,0.0784,0.638895,0.041842,0.026367,0.009659,0.527,0.07941,2.7,0.123961,27.0,1.239613,0.553708,0.112026
